facebook.com,157.240.28.35
amazon.com,176.32.98.166
youtube.com,172.217.11.238
ifeng.com,123.103.122.24
wordpress.com,192.0.78.17
yahoo.com,98.137.246.7
goo.ne.jp,153.254.147.65
tudou.com,106.11.186.1
live.com,204.79.197.212
bbc.co.uk,151.101.0.81
yahoo.co.jp,183.79.135.206
wikipedia.org,208.80.153.224
yandex.ru,77.88.55.70
sohu.com,221.179.177.36
msn.com,13.82.28.61
myspace.com,63.135.90.70
apple.com,17.172.224.47
baidu.com,220.181.38.148
mail.ru,217.69.139.200
hao123.com,202.106.2.86
blogspot.com,172.217.1.201
cnet.com,35.190.79.82
windows.com,13.77.161.179
microsoft.com,13.77.161.179
go.com,23.236.60.174
ebay.com,66.135.195.175
qq.com,111.161.64.48
4399.com,118.184.184.70
pps.tv,101.227.188.170
taobao.com,140.205.220.96
orkut.com,216.239.36.21
xunlei.com,39.104.39.191
bing.com,204.79.197.200
skype.com,40.121.80.200
56.com,221.5.34.99
sina.com.cn,123.126.55.41
ameblo.jp,151.101.65.83
fc2.com,34.212.55.67
soso.com,118.191.216.42
naver.com,125.209.222.142
paypal.com,64.4.250.37
163.com,123.58.180.7
flickr.com,143.204.30.100
sogou.com,119.28.109.132
ask.com,151.101.70.114
4shared.com,204.155.149.41
tmall.com,140.205.130.99
adobe.com,192.147.130.204
amazon.co.jp,52.119.164.121
ku6.com,117.50.1.222
twitter.com,104.244.42.1
linkedin.com,108.174.10.10
rakuten.co.jp,133.237.16.234
mozilla.com,63.245.208.194
dailymotion.com,195.8.215.136
about.com,151.101.66.114
youku.com,106.11.47.19
imdb.com,52.94.228.167
orkut.com.br,132.148.40.250
sdjjdsaf.com,
aol.com,106.10.218.150
hotmail.com,204.79.197.212
andysayler.com,138.197.228.157
paipai.com,106.39.169.133
360.cn,36.110.213.10
wmfo.org,23.92.21.128
alipay.com,110.75.139.5
craigslist.org,208.82.237.1
softonic.com,35.244.172.133
weather.com,23.1.133.227
nifty.com,222.158.213.148
soku.com,106.11.47.20
imageshack.us,208.94.3.19
alibaba.com,198.11.132.198
cnn.com,151.101.193.67
megaupload.com,
tianya.cn,124.225.65.154
renren.com,120.133.2.241
mywebsearch.com,74.113.237.222
livedoor.jp,203.104.153.16
zynga.com,52.84.235.138
blogger.com,172.217.1.201
partypoker.com,195.72.134.116
vkontakte.ru,87.240.190.72
hp.com,15.72.164.74
answers.com,151.101.64.203
walmart.com,161.170.230.170
rapidshare.com,0.0.0.0
kugou.com,183.131.48.92
daum.net,211.231.99.80
ebay.de,66.135.195.175
7k7k.com,106.75.22.155
youdao.com,61.135.218.27
2345.com,42.62.30.180
hotfile.com,18.207.9.28
photobucket.com,209.17.68.100
qiyi.com,101.227.188.174
mediafire.com,104.16.202.237
pconline.com.cn,219.136.244.85
ehow.com,184.86.157.60
odnoklassniki.ru,5.61.23.11
seesaa.net,59.106.98.142
jp.msn.com,13.88.15.24
